rvprcomments,wasreturned,wfsku,year
"Though I had problems with two of the 4 sinks I orders. I am still giving these sinks 5 stars. Two arrived with a flat/unfinished dark brown bottom and the other two arrived with shiny black bottom. Wayfair send me replacements right away with and the new ones are perfect. I love that they have the look of a vessel sink, but are mounted partially below the counter allowing for better faucet fit and ease of use. I was a new Wayfair customer, but am now a loyal customer because I can order with confidence that they stand behind their products.",1,F,2018
"While the colors are the same - this is not a watercolor as the other curtains I purchased at the same time are.  It appears to be a photograph that is enlarged so much, it is hard to make out the flowers - they are blurred.  There are no centers in the flowers of the curtain I received - just a dark blur.  I am returning this one.",1,G,2017
"It's a decent piece, sturdy and good quality but just looks a bit too fake for what we were going for.",1,H,2017
Too small for my king bed.,1,I,2018
"LOVE this rug.  I am exchanging for a larger size, but it's well-made, not scratchy and the perfect style for our home.",1,J,2017
"I sent this back.  Just not what I needed,",1,A,2017
size listed on website was incorrect--I could not use it,1,B,2018
"Omg these quilts are so hard feels like cardboard DO not purchase I will b returning. The print is nice, but they need to remake these.",1,C,2017
"Dimensions are not accurate.  Much larger than I needed.  Measures over 10""around and about 13"" tall",1,D,2017
"Gorgeous! Compliments and adds style to my living room or any room for that matter. I plan on buying a second lamp when the price reduces, well worth what I spent!!!!",1,E,2017
"Nice light, very modern",1,F,2018
Looks like the photo but it's a small very plastic type light weight. Not something you'd see at home goods on the floral shop,1,G,2018
I did not expect the wide and short look for the pendant. I plan to return these for a more slender light fixture.,1,H,2017
They looked nothing like the picture listed to sell the product. Truely disappointed!,1,I,2018
Exactly what I wanted. Mugs are larger than they look which works out great for our family.,1,J,2018
I liked the tables but the chrome did not look nice in my room.,1,A,2018
Unfortunately have to return the cover as it does not fit my canterlevered umbrella. Product looks nice,1,B,2018
Very nice! Will go great with my collection.,1,C,2018
I absolutely adore the look of this. I got it to place at the bottom of my coffee table but I’m still deciding if the colour is too dull.,1,D,2017
Opened and installed.  Looks GREAT!,1,E,2018
The grey is lighter and the white is more like antique white in person.,1,F,2017
I love my Fiesta Ware bowls! The color is so vibrant and pretty!,1,G,2017
they came well packaged and the product looks great,1,H,2017
Not good materials,1,I,2017
Too expensive for just the table. Thought it was a set. Very disappointed.,1,J,2018
The seat height is low for our table. The chairs are very light and feel a bit cheap. They would be good if you didnt need to use them very often.,1,A,2017
nice looking.  not sure how you are supposed to attach cushions to base,1,B,2018
not sturdy enough,1,C,2018
These would be perfect to shade house; good neutral color.,1,D,2018
Love these array of colors!,1,E,2017
Instructions said you only need a screwdriver but item arrived without holes in seat. Cannot assemble without a drill.,1,F,2018
The light is very attractive. The one critique is the tiny screws that remove the cap are underneath instead of on top as usual. I keep dropping them trying to attach the cap. This is going to be a problem when changing a bulb,1,G,2017
"I was totally dissapointed in this piece of junk. I can,t return it because i used it three times and trashed the box. All the photos I saw of golden french fries and crispy fried chicken were totally photo shopped. Everything came out greyish and looked horrible. This is my first bad experience with Wayfair and probably my last. Since I can,t return it i'm going to try and get a dollar for it at a garage sale.",1,H,2018
"Beautiful colors on the one side, white on the other.  The white side makes it look very cheap.  Beautiful softness however.",1,I,2018
"The worst thing to assemble.
I am sending it back",1,J,2017
he's are very cool modern and tables good price,1,A,2018
"Design is cool, but material is awful - cheap, shiny plastic.  I will be returning these.",1,B,2017
"The comforter as show on the pic not even close for a King size bed; very disappointed on this, it did not even come down to the sides of the mattress, review your description dimensions or pics to show what the comforter will actually cover",1,C,2017
We really like this rug - good design & feel. Only critique - the green is less of a thyme/olive color and more of a green teal.,1,D,2018
okay,1,E,2017
"Ordered 2 of these and they came in just days! They are beautiful, better looking then in the picture and anything I've seen in the local stores . So excited!",1,F,2017
Great quality and price!  Arrived quickly as well.,1,G,2017
A bit thin but good value,1,H,2018
"Horrible! This rug looks absolutely nothing like it does in any of the photos. The quality is terrible, I didn't even know they made rugs this poorly. Paper thin, when you walk on it it feels horrible. I purchased a few rugs in this purchase, each and every one was poor quality, none of the colors matched the photos. I will be shipping all of these poorly crafted, cheap, tacky rugs back. Lesson learned, there are just some things you need to touch and feel before purchasing, rugs from Wayfair being one of them. False advertising for sure.",1,I,2018
Very comfortable chair.  Sturdy and good looking too.,1,J,2017
"Nice size, comfy and soft.  Ordered pink and not blush as I was expecting - more baby pink.  Perfect if that is what you're looking for.  Going to order the ivory in replacement.",1,A,2017
"I ordered this in lavender. Love the look and style, just wish it were a tad larger because it is really a pretty chair, hence the four stars.",1,B,2017
Too shiny for my taste,1,C,2018
"no me sirve para mi love seat,,no pedi chair",1,D,2017
"Quality and style is great! I love it. Unfortunately my cat doesn't seem crazy about it. He sat in the bottom shelf for a couple minutes, but when he jumped into and out of the top shelf it almost fell over (he's about 11 pounds). He hasn't looked at it since.",1,E,2018
"Got three gray ones.  Perfect color, nice fabric and quality. Mine came with inserts. The green was hunter green, which I didn't want.",1,F,2018
"I thought it was a very beautiful piece, but I have to return it because the color doesn't go with my room. It was very well made and I wished it would of worked.",1,G,2017
"Take in the light well, but on the cheaper side.  Wasn't thrilled with the colors.",1,H,2018
LOVE THE PILLOW! GREAT STYLE WHILE MAINTAINING SIMPLICITY,1,I,2018
Wasn't the right color.,1,J,2017
"The texture and appearance of these are very nice.  BUT, they really are not 'semi-sheer' in my opinion.  They block a lot of light.",1,A,2018
Too small and then they charge a ridiculous amount of money to return ($13).,1,B,2017
"Very dissapointed! I didnt look at the messurments! Who would think you need to make sure its a standard fireplace size! I think they should mention the size a little more in the ad.  But they were very understanding and made it very easy for me to return it
Thanks",1,C,2017
Returned as I did not like the style after I received them.  Good price though.,1,D,2017
Excellent!,1,E,2017
Picture is nothing like the color of the actual table.,1,F,2017
Looks great on my mantel,1,G,2018
These were very poor quality and had a huge seam down the middle of them. I will be sending back,1,H,2017
The pillow is very pretty but I would have like a more distinctive carousel.,1,I,2018
"Wish I would have read some of the lower reviews first - If you want that shiny brass/gold look as the first 2 current pictures (attached here for context) on the product description indicate this is NOT your end table. Definitely arrives looking more ""taupe"" and MUTED as others have said.",1,J,2017
it isnt the color In the pictures online.more a green and yellow color I liked the aqua color not this color  .,1,A,2017
"Nice solid sofa, also very stylish.",1,B,2017
"The colors are much darker than shown in the photo.  The rug is about 90% dark blue and turquoise, with very little white, and definitely not the beachy colors they appear to be.  The quality seems OK.  I lost $25 on the return, so not very pleased with this purchase!",1,C,2017
Adds elegance to kitchen.,1,D,2017
Love it,1,E,2017
"The light is cool, kind of retro-mod looking. Shipping was fast!
Unfortunately we'll have to return because it doesn't quite work with our space, but it certainly is a cool fixture for somebody!",1,F,2017
The design of this accessory set is unique. If your wall is painted off white or beige or cream this color  will not popped out. I find the design simple yet elegant.,1,G,2018
Beautiful rug and very nicely made,1,H,2018
Absolutely beautiful!,1,I,2017
"Stools are really nice, but they say bar stool but they are counter height.  They also sent the wrong color twice, description says green and it was blue.  We ended up keeping the blue ones because we needed them for an opening.",1,J,2018
This lamp is very flimsy.  Beautiful but not good quality.  Returning it,1,A,2018
I love these chairs. We bought the green color and I couldn't be happier with them.,1,B,2017
Small and plastic. Really bad looking.,1,C,2017
"The picture on the website is NOT the same as the actual.  I recieved the shipment today and it's actually green and brown with a splash of blue; not blue, gray and charcoal as shown in the picture.  Looks nice if those colors match your bathroom though!",1,D,2018
"The gold looks cheap and very ""bright"" gold. I was looking for more of a brass look.",1,E,2017
"great quality, very comfortable",1,F,2017
"It has a bit of a rough texture.  It is pretty but it isn't very soft to the feel.  Other than that, it is a pretty rug and the colors are a bit more pronounced than in the picture.",1,G,2018
Is very pretty in my sewing room.,1,H,2017
"It's a great looking table, but seems overpriced.",1,I,2017
Ordered both light gray and white mica because I didn't know what would look best in my room. Liked them both but went with white mica.,1,J,2017
"This vacuum is to big to fit under most furniture, If you have carpet or rugs in your home it will not go over them.  Although this vacuum did put up some pet hair i still had to do a-lot of the work myself . Not worth the money.",1,A,2017
"It was much larger than I expected and although the glass votives were nice quality, the greenery was too artificial looking for the price.",1,B,2017
"The curtain panels were lovely- I really liked the ruffles. However, they were just too sheer for my bedroom windows.",1,C,2017
Misleading information. The headboard comes separate. Nowhere did they inform me of this. Not happy!,1,D,2018
The curtain is the perfect color I've been searching for.  The material is ideal and the holiday theme is awesome.,1,E,2018
I love my headboard! Best of all was the price and free shipping!,1,F,2018
"Cheap piece, very disappointed. Missing the hanging components and The frame is flimsy, not made of wood and no glass just plexiglass.",1,G,2017
Color more orange than rose.  Pillow cases did not fit queen size pillow by any means. I am aware it was full/queen size.  Disappointed customer.,1,H,2017
"Very pretty sheets, my daughter will love them.  Didn't realize the fabric would be quite so slippery though.",1,I,2017
Love this quilt. It brightens my bedroom!,1,J,2018
This is a quality bed set.  It looks lovely with our 18th Century mahogany reproduction furniture.,1,A,2018
Packing was terrible-it was flat upon receipt-not rolled/supported.  Buyer beware if you decide to order this item-it is being returned immediately.,1,B,2018
Very disappointed. Shelves were plastic (and looked it as well) .... will be returning,1,C,2018
This chair is very short and small.  Looked tiny in my living room.,1,D,2017
I received a similar product but with brass nail heads and no metal foot rest. I will be returning. Total disappointment.,1,E,2018
Great,1,F,2017
Horribly manufactured and the fabric was dingy and looked dirty-would not recommend to anyone.  We were very disappointed and will be returning them.,1,G,2018
Seemed a different shade than the picture and didn’t match my decor.,1,H,2018
I like the table. It's beautiful. I also love the bench. I did not receive the chairs pictured.,1,I,2018
Great delivery timing.,1,J,2017
My light was only shipped with the top half and no tripod stand.,1,A,2017
It was a very pretty set but I felt that the item was poor quality for the price :/,1,B,2018
"I am very diappointed, it is much thinner than expected, no way .5 inch. Color is not as gold as appears in photo. Fast delivery, but not what I really wanted.",1,C,2018
"These chairs are a practical and contemporary design, moderately easy to put together and work perfectly in our craft/workroom.  They are sturdy and comfortable.",1,D,2018
Bought this for my 9 year old daughters room.  Looks nice with her light aqua wall color.,1,E,2017
I love the lamp shade but it's tiny.  I'm returning it for a bigger size.,1,F,2017
Absolutly gorgous chairs and very great quality!,1,G,2017
"Good quality, my daughter really loved the vanilla oak!",1,H,2017
The rug is very soft and the colors are vibrant. Still trying to curl up a couple of week after it arrived. Doesn’t shed.,1,I,2017
"The description of this cover wasn't a good one, so I had assumed that it had gold tones in the material, but it is green, and slightly brown.  I will be returning them today.",1,J,2018
It was hard to put together but a nice piece once it came together.,1,A,2018
"Nice, I have it hung up in my office and think I like it for now :)",1,B,2018
The lamp is nice and easy to put together. It would be nice if it was just a little taller but it gets the job done.,1,C,2018
Love them! They look very fancy. Color true to website. Excellent purchase.,1,D,2017
I love this print.  I had to return it for a larger size.  Can't wait till it arrives.,1,E,2018
Awesome,1,F,2018
"This pillow feels kind of cheap in person.  The fill is insubstantial, and the finish is flat and a boring.",1,G,2017
"Color was not exactly what I wanted, but overall, very comfortable for lounging and sleeping",1,H,2017
this was a horrible selection.  It looks way too cheap.  The legs were missing also.  I'm sure wayfair would have sent them out if we wanted to keep this item but we don't,1,I,2017
The rug is really nice and of high quality.  The grey boarder has a green hint to it so it works perfectly with a room that is green/sage. Had a lot of trouble receiving the correct rug but on the third attempt it all worked out.,1,J,2018
A little thinner than expected. But in general the quality is good. The sheet set stands the wash very well. Won't complain for the price.,1,A,2017
Very nice sheet set.  Great color and sheen.  Fits nicely.,1,B,2018
"Description was a little misleading. The reverse side of the comforter along with the decorative pillows are actually a dark brown color, not dark grey/black like I was expecting. Good size and quality though. Sad to send it back.",1,C,2018
"They are too small to use for dinner plates, unless your a child",1,D,2017
Bright chrome ordered. Some small defects on chrome but I am picky. Solidly built. Presents as shown. I believe the size will be attractive to customers who desire a fixture that is not oversized in a smallish bath.,1,E,2018
I am sadly disappointed with the color.  I thought the gray was more of a gun metal gray or a tint of blue gray from the photo.  It is definitely sidewalk gray.  Pretty but not in that color for me. I will have to return it.,1,F,2017
It was a good product...I sent it back because I decided not to redo sunroom...,1,G,2017
"Sturdy and easy to put together. The ""wood"" finish on the shelves looks a little cheap, but over all it is a good piece for the price.",1,H,2017
"I ordered two sets of dark indigo blue and could not be more disappointed.  They are NOTHING like the picture.  Very poor quality fabric, faded with poor workmanship. I would be afraid to wash in machine.  Promptly returned.",1,I,2017
"This chair is so cute, but it just didn't work for our office. We planned to use these for a raised-desk at a busy office and determined these just weren't sturdy enough at their tallest. We went with a stool with 4 legs. These did arrive in great shape and were easy to assemble.",1,J,2018
great bronze color...very sturdy,1,A,2018
It's great.,1,B,2017
The material is very nice quality and a pretty slate blue gray. Assembly was super easy. Unfortunately it didn't work for my needs because it was just way to small and low to the ground for practical use. This was my fault because I didn't read the dimensions carefully. If you're looking for something small that folds down easily this may be for you.,1,C,2017
Color was not vibrant as shown online.  I returned the product.,1,D,2017
Beautifully made,1,E,2018
Nice Stand,1,F,2018
"The fixture is beautiful but the glass shades are amber colored, NOT clear as pictured. Bought two and one is worse than the other.",1,G,2018
Was very unhappy with color of glass,1,H,2017
The color was different than pictured.,1,I,2017
Excellent product,1,J,2017
Rug was a bit thin but of good quality. Perfect compliment to any room.,1,A,2017
Definitely not worth the price.,1,B,2017
"Not what I wanted. Looks fake,  cheap and stiff. I will return it.",1,C,2017
very nice comfy rug,1,D,2017
"Great for any drapery or curtain window treatment.  If you are using heavy drapery, you may want to go with the larger medallion that is also offered on this site.",1,E,2017
"Love the pillow, the design and quality are great....but definitely darker, bit more dull of an orange than pictured. Erin Gates has such a great line, other than the delayed shipping, I have been really happy with her items. Looks like I spent $$$$$, but it was only like $40!",1,F,2018
Gorgeous colors.,1,G,2017
"Color nothing like what was shown in pictures. I was expecting a rich purple like the photo shows, but it's a light lavender color in person.",1,H,2018
Web site did not say these sheets were flannel...Very disappointed with these sheets...I am returning them...Web site stated 100% Cotton..!!,1,I,2018
Great quality! low pile and beautiful vibrant color!,1,J,2018
awful.  it appears silvery white in most lighting.  poor description given by wayfair,1,A,2017
This is really cheap looking-it is made  out of peg board material with label glued on. Not worth the money!,1,B,2017
Just what I needed to upgrade my old cabinets! Love the look and the price!,1,C,2017
Was very disappointed with this purchase. The removable part of the pit was not 17 inches deep as advertised it was only 7 inches deep; so please note.,1,D,2018
Love this rug. Unfortunately have to return it for the larger 8 foot size.,1,E,2017
"The Peacock area rug is beautiful, but I thought the darker color was navy and it turns out it was black.  So, may need to return it, but I really like it.  The quality is very good, as well.",1,F,2018
So pretty,1,G,2017
"The color and pattern of this rug is beautiful.  It is thin so it rolls flat quickly and needs a pad.  My only problem is it is very scratchy and uncomfortable to sit on when playing with my children.  My three year old described it as ""very pokey""... the three stars were chosen as comfort and function are very important for my use.  The color is definitely a medium blue with NO hint of gray (which my computer screen showed), still a pretty color. If it were soft I would be in love with it!",1,H,2018
Looks great in my lamp post. Plenty of lights throughout the garland.,1,I,2018
AAAAAAA+++++++,1,J,2018
Very nice but too much color for my decor.,1,A,2018
Beautiful rug.  Glad I found it on Wayfair.  Was about to pay $300 at a furniture store.  Was half the price at Wayfair.,1,B,2018
Nice looking.  Clean line glam.,1,C,2018
Beautiful set but had to return it because we got a futon for the room instead.,1,D,2017
prettier then ikea better quality,1,E,2018
"never will buy again thru Wayfair. they show as 5*8 and when you put it on your cart, is a different size.
plus if you return it, you have to pay the shipping.
i keep with Amazon!",1,F,2018
Beautiful,1,G,2018
Very cute,1,H,2018
It's very nice and has many features especially it covers the track so you cannot see mounting screws,1,I,2018
"The detail on this knob! Ordered it in the distressed nickel finish, which helped to give the design a lot of definition. A bit smaller than I would have liked, but fine quality.",1,J,2018
"Table was nice and solid, but the top has grooves running the width of the table that weren't clear in the pictures.  I would love to keep it, but will be returning this due to those grooves.",1,A,2017
Not what I thought must be plugged  in with a USB cord did not like,1,B,2017
"Love this rug! It came exactly as pictured. I have it under our table in the morning room and even though it catches a lot of crumbs at dinner time, it is super easy to clean. Highly recommend.",1,C,2018
"We originally purchased them for above the kitchen island, but they are too small for the space.  We will use them in the powder bath where the size is more appropriate.

Quality is very good, and they look exactly as shown.",1,D,2018
"This was my first time buying from Wayfair and it was a great experience overall! We ordered two sets of bar stools that were in the open box section, so they'd been previously purchased and then returned. When they arrived, one set was a little scraped up because the previous purchaser must've thrown out the packaging and had to use a towel to repackage it, but they're meant to look rustic so that didn't bother us - I mean, they were also half off so that worked for me. The second set was the wrong size, but we just contact the folks at Wayfair via the chat feature and as soon as we explained the issue they sent us new stools! It's honestly been the easiest return/exchange I've ever gone through AND I love my bar stools. Thanks Wayfair!",1,E,2017
I like this a lot. Smallest size was a little too small for my pug though. I might order the next size up.,1,F,2018
Great little rings. Nice clamp strength.,1,G,2018
Comfy comfy comfy. Love this pillow so much. Squishy but yet still supportive for my neck and not hot at all.,1,H,2018
Not loving them.  Get what you pay for,1,I,2017
It's nice but didn't fit my chairs,1,J,2018
"Need to return. It's uncomfortable, too dark and too short.",1,A,2017
Like it...just didn't fit,1,B,2018
I am giving these one star because they are so pretty. I wanted smaller appetizer plates and thought 4 inches would work. However these are curved up and look more like a tiny finger bowl. Way to small. Will be returning. Wish they came larger.,1,C,2017
"I absolutely love this piece of furniture!  It took me 2.5 hours to assemble by myself, the hardware was very organized and the directions were easy to follow.  It's the perfect addition to my flex/TV room.",1,D,2017
"Quality wise, it was very nice. It would have been nice to know that what looked to be dark grey in the photo was really dark green! I spent two days repainting my bedroom in two tones of grey in anticipation of it's arrival and was very disappointed. Have to pack it up and send it back.",1,E,2018
for  1000 count sheets I expected a smooth soft sheet. When I opened the sheet package they seemed rough so I washed them using fabric softener and they came from my dryer very wrinkled and rough like cheap sheets. I bought 3 sets and returned two and wish I had not washed the 1st one so I could have returned it also.,1,F,2018
Cheap plastic.  Price was too high for something like this.  Clips also did not fit the furniture as suggested.,1,G,2017
Great for the price!,1,H,2018
"This is a very cheap looking rug and was very thin, for the price I would not recommend this rug.",1,I,2018
Wrong team. I need to return but this is a better chair than in the store.,1,J,2018
Awesome! Just exactly as described and exactly what I needed for my space. The baskets are super flexible but very durable at the same time.,1,A,2017
"It looks black and white in the picture. However, it’s definitely black & tan.",1,B,2018
These are gorgeous! I love the greywash color. I ordered 4 of these and one came broken. I'm giving it 4 stars because it seemed the chair leg was broken from the wood being a bit rotten. Wayfair is sending a new one.,1,C,2018
Does not fit as indicated in photo displayed,1,D,2017
Make sure you order the right valve for the faucet. I suggest calling Kohler or your plumber. Had to send this back and order the right one.,1,E,2018
"The size and shape was exactly what I wanted, however the color was way off. Described as blush and in reality was lilac/lavender. Truly purple, not pink.
Despite this error, Wayfair deducts $50 for return pickup. Not worth shopping on this site unless you’ve already seen the item in person.",1,F,2018
Table was ok. Crackled glass is not actually the glass.,1,G,2018
Got3 for different beds the gray and turquoise were beautiful but I didn’t like the burgundy and I’m sending it back,1,H,2017
It was for my daughter and she had trouble pouring out of it so sadly I am returning  the blender,1,I,2018
I am returning. Color much too hunter green,1,J,2017
"I have a chair from here that is beige and linen material, I ordered this ottoman to match. The ottoman is a completely different color from the chair and I am very disappointed. Trying to return it however now they are asking me to pay my shipping costs even though the item wasn't as described on the website.",1,A,2017
very elegant and well designed!,1,B,2018
Love it. Good quality!,1,C,2018
Love that it came exactly what it looked like online.  Good quality!,1,D,2018
Darker then in picture!,1,E,2018
Good buy,1,F,2018
"Larger than anticipated based on specifications and item description. Base was not quite glass but seemed to be a more plastic-glass blend. Bottom ring seemed cheap. Just was not happy, expected it to be nicer so I am returning.",1,G,2017
Love it!,1,H,2017
"This fixture was exactly what I expected. However, the glass was hard to place. If you purchase this, be sure to put the large pieces of glass in first. Overall, looks gorgeous on the house.",1,I,2018
"The insert is very soft, and lightweight as I wanted it for hot weather. Unfortunately, it is very small on my queen duvet cover. Will be returning.",1,J,2018
AWESOME CHAIRS.  More on the petite size yet firm cushion & great structure.  :),1,A,2017
Beautiful Item true to picture,1,B,2017
Love the look!,1,C,2017
Not sturdy enough,1,D,2017
Thought it would be more “white-ish” but was very cream (yellowish) ... returning it but the rug is very thick and heavy so if the colors work it would be good.,1,E,2017
Love these sheets,1,F,2017
"Sleek, good quality, excellent value. Comes well-packaged.",1,G,2017
the chairs didn't look good in my space,1,H,2017
Comfortable wish it was a complete,1,I,2017
"I did not realize the actual ""mirror"" part was not made of mirror material, but rather some sort of plastic that makes the reflection look like some sort of distorted fun house image.  Maybe I should have figured that's what I'd get for the price.",1,J,2017
Absolutely stunning--however- the color is deceiving- I ordered the french gold and it looks mores silver./olive/bit of gold.....but it looks good and I decided to keep it!,1,A,2018
"Good quality, but didn't fit my décor.",1,B,2017
"I was about to return this when it first felt like too soft compared to the other memory foam pillow I got but, after sleeping on it one night like a baby I know this is a great pillow for a stomach-sleeper like but, should work well for others w/o too broad a shoulder if you are a side-sleeper.",1,C,2018
"Easy to install, but the quality of the fabric wasn't quite what I was hoping for as it looks a little cheap. Still, it's a keeper.",1,D,2017
Fits the space perfectly. Very cozy and comfortable. I love it!!,1,E,2018
Just another satisfied customer with what I've gotten from Wayfare,1,F,2017
"Not the color shown. A ""WHITE"" and silver. Poor workmanship. Returning. Very Disappointed.",1,G,2018
I returned this item....it appeared to be made very cheap and for the cost....was not a good purchase for me.,1,H,2017
They are perfect.  Good quality!,1,I,2018
"Excellent service, received promptly. This faucet is beautiful and exactly as described. I've been telling everyone about Wayfair. Great products and at the right price points!",1,J,2018
"Perfect, and so soft!",1,A,2017
I was really disappointed when I opened the box to see cheap looking veneer and a very grey looking wood color.  Totally not what I was expecting.  Will have to return.,1,B,2018
very pretty,1,C,2018
"Lamps are beautiful, just didn't work with colors in our room.  Shade has a beautiful shimmer to it",1,D,2018
Perfect! Exactly as pictured!,1,E,2017
"This is a beautiful lamp!  Sadly, the bulbs show below the shade and cast a very bright and glaring light.  I had to return them.",1,F,2017
"I made the mistake of only ordering the base instead of the full hall tree. The base itself is beautiful, however since I cannot buy the mirror separately, I will have to return it, as the base by itself doesn't fit my need of additional storage space for my coats and handbags.",1,G,2017
The quality of this pillow is not acceptable to put in a guest room!  It looks like it's made out of cheap $5 material.  I returned it.,1,H,2017
very nice chairs -- comfortable and easy to assemble,1,I,2017
The white background is pretty dingy- it looks dirty. Much more lackluster than in the photo.,1,J,2017
Super thin and cheap looking. I will not be purchasing rugs through Wayfair again simply because you can't tell the quality you're getting until you roll the rug out.,1,A,2017
I love the print but I guess maybe my decor was not eclectic or bohemian enough for it to fit.,1,B,2017
Nice look but color of wood was not expected- too big for area,1,C,2018
Extremely cheap.  A piece of junk.,1,D,2017
The weight is authentic but the paint job makes them look very fake. I'm returning them.,1,E,2017
"Not so much, missed the mark for me.  Very sparse, lots of areas where the trunk shows through.  I realize this is supposed to almost be a Charlie Brown tree but this just didn't cut it for me.",1,F,2017
Really cute to add a pop of color on my patio sectional. Kind of small though,1,G,2018
not the color pink described,1,H,2017
very nice super fast delivery,1,I,2018
This light comes without the light bulbs and they are almost impossible to find and the ones I way too expensive!,1,J,2017
I love the lampshades. Not actually crazy about the actual lamp base. Looks like a lot of paint over paint and one of the désign on the base is not straight with the base. Debatable if I am keeping.,1,A,2017
great price!!,1,B,2017
"Tapestry is very beautiful, thick, great colors. I gave previously a bad review because I thought that the colors were not red as described. And what happened is that they had sent me a wrong tapestry. It is very similar but orange. I returned it and finally they brought me the Luchon Terrasse, which is exactly what I needed. Great addition to my formal dining room
The only thing I didnt like so much is that it came folded and it is difficult to take the marks off",1,C,2017
I was so glad to get the bed frame It got hear when promised,1,D,2018
These pillows were very faded and did not look as good as on the web site.  Also they were smaller.  The pillows were very lumpy.,1,E,2018
Looks cheap,1,F,2018
Really nice quality for a good price. We are very happy with the functionality. Will be ordering more.,1,G,2018
"Sofa is GREAT! perfect for our needs. Its stylish, modern, and comfortable. Best part is it converts into a bed for my kiddos to nap during late work nights at the studio!",1,H,2017
Ordered these in Ant. English. Large Appliance Pulls so hard to find. LOVE these. Style is unique indie feel yet  very transitional. I used a mix of other hardware styles from country/rustic to the classic egg shape knob and its gorgeous. I highly recommend these!!,1,I,2018
quality was horrible- returning!,1,J,2018
This is a combination of a window shade and curtain. Love the look and it will keep out the heat this summer! Nicely made and looks like the picture.,1,A,2018
Great quality!,1,B,2018
"First i would like to thank wayfair for  making it so easy for a dad, grandpa and great grandpa a way to shop for my big family without haveing to leave my home.bought this for my great grandaughter, and got a call from her last night that she loves it, how did i know what she might like. I told i may be 83 but still know how to make a beautiful young lady happy, ( her mom told me). So this mirror got a big thumbs up, she said she loves it.
Thank you wayfair for having so many different things to pick from for those special accusations, when an old man like me that cant get out much anymore, but now can buy  for the whole familly
Sincerely your biggest fan.",1,C,2017
Great price and the quality was good. The colors just looked a bit drab in person versus online.,1,D,2018
Too small/narrow,1,E,2018
These are pretty but I didn't love the feel of the fabric.,1,F,2018
The cart is spacious and very sturdy. It folds up very compactly.,1,G,2017
Beautiful!,1,H,2017
"These pillows are totally deceiving. They look like they will be covered in sequins, but it is screen printed on canvas.  And the screen printing looks horrible.  They are a rip-off for the price.  I will be returning.  DO NOT BUY!  They are not cute!",1,I,2018
The lamp does not work unless the light is on. Wiring must go through the switch and not individually set up.,1,J,2017
Not as advertised but called Wayfair while delivery guys were still here.  Woman on the phone was very helpful and accommodating.  We had the option to keep or return and ended up with a nice discount to keep it!  Wonderful resolution from Customer Service!,1,A,2017
these are nice and thick...seems like the hair will come off easy.  i got the wrong size but am returning for the correct ones.  bought 2.,1,B,2017
This light was purchased in the nickel and it looks beautiful!,1,C,2017
